날짜,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,자동차,여행/교통,스포츠/오락/여가,서적/문구,교육,숙박,음식점,공과금/개인및전문서비스,금융/보험,소비판매지수,소비자물가지수
201704,-5.5,2.2,2.4,-4.8,-0.8,-1.8,-10.9,-0.4,4.2,-26.5,-14.5,2.6,-0.1,9.3,-10.5,-0.014231499051233443,-0.0012606979962076492
201705,6.3,9.0,5.0,1.8,18.1,-1.9,-0.8,0.5,13.7,-3.5,7.1,23.1,10.2,-4.9,11.6,0.03561116458132818,0.0010673015742699299
201706,-3.6,-10.1,-10.8,-5.9,-11.5,1.5,6.1,3.5,-11.8,-3.0,-0.3,-15.1,-7.3,5.1,0.1,-0.03159851301115235,-0.0021323273122425546
201707,2.4,-0.8,-4.2,3.9,31.9,3.1,-2.0,4.6,-5.0,10.9,9.3,12.8,8.8,20.0,-1.2,0.006717850287907945,0.0016540302862191325
201708,-3.6,7.6,-11.7,1.7,-19.1,2.0,-4.1,-6.7,3.0,-5.1,3.7,37.3,2.2,-15.8,0.1,-0.03431839847473794,0.005733392137355464
201709,7.6,22.8,18.0,0.5,-8.2,0.5,11.2,4.5,-2.8,7.8,-6.9,-32.3,-8.0,5.9,-0.9,0.08094768015794673,0.0011625772501988596
201710,-8.4,-2.9,1.9,0.1,1.8,-10.3,-20.4,-13.6,14.5,-16.7,-10.3,17.7,2.4,-8.0,-3.7,-0.013698630136986356,-0.0009676893615286897
201711,14.7,-15.3,9.9,5.3,4.0,10.2,26.9,9.8,-4.8,7.6,4.6,-14.3,-5.8,2.1,5.4,0.06481481481481488,-0.007443131417151916
201712,-0.3,7.4,-5.9,5.3,-6.4,6.3,-1.4,7.0,-12.1,18.0,6.9,18.0,12.8,-1.1,4.1,-0.01826086956521733,0.003605658109649079
201801,4.5,-5.9,-16.7,-4.0,7.4,2.0,-16.0,8.1,-11.6,-11.5,2.0,-1.7,-6.5,26.0,-1.5,-0.06731620903454394,0.00417613461892774
201802,-10.6,21.8,-7.0,-5.6,-9.2,-13.5,-5.7,-16.7,-11.8,-7.5,-4.1,-20.9,-13.4,-24.7,-8.7,-0.03418803418803418,0.0076345993109494525
201803,13.8,-22.2,25.5,7.8,23.3,13.3,36.1,9.3,35.2,47.7,13.3,3.0,17.6,10.5,16.9,0.11406096361848572,-0.001052045925850953
201804,-2.9,2.8,0.5,-3.6,-1.7,-6.1,-8.4,1.2,6.5,-27.7,-17.7,0.8,2.5,3.5,-6.6,-0.030008826125330956,0.0018227663517331738
201805,3.8,9.6,5.0,4.8,6.0,3.6,2.7,2.7,10.6,2.4,13.1,20.8,8.2,-3.4,5.0,0.0263876251137396,0.0004851866452375564
201806,-5.3,-8.1,-8.3,-1.5,-5.9,-2.2,-3.8,-1.2,-8.9,-5.3,-2.2,-11.5,-6.2,0.3,-2.4,-0.03634751773049638,-0.002020630638822407
201807,9.3,-1.3,-4.0,6.1,28.7,3.6,0.7,4.6,-3.9,10.1,7.1,13.3,7.4,23.1,4.8,0.01931922723091062,-0.0019133621518743205
201808,-5.7,5.2,-13.6,0.6,-23.0,0.2,-2.3,-5.1,-2.4,-3.1,6.0,30.1,1.5,-19.1,-0.7,-0.03429602888086636,0.008844710416878065
201809,0.3,47.5,14.9,-3.5,-14.1,-6.8,-9.4,-9.8,2.7,1.0,-12.0,-31.8,-9.0,5.9,-8.2,0.028037383177569986,0.007631055076310567
201810,12.2,-29.9,17.1,4.0,11.3,8.1,16.7,10.0,15.1,-5.3,-0.5,9.8,3.7,8.9,13.4,0.032727272727272716,-0.0017960307719939728
201811,2.7,1.3,-4.6,-2.0,-1.0,1.3,0.4,-2.7,-8.3,1.9,0.0,-8.4,-5.0,-6.6,-3.0,0.022887323943661997,-0.0071070860947011205
201812,3.0,5.1,-2.1,-3.9,-5.0,5.0,-0.1,4.9,-8.6,16.0,3.0,20.0,12.8,-2.0,3.9,0.001721170395869276,-0.0034430685593476174
